created,text
2020-03-16 03:44:54,RT @sooilli: 박서준 배우님 인터뷰에서 손흥민이랑 친분 이야기 https://t.co/RpEgYgEAmv
2020-03-16 03:39:07,"RT @kenji20c: 롤을 10년간해온 플레이 유저로써
브실골은 상대적 박탈감을 느낀다
누구는 606게임이나해서 간신히 골드5인데 (1게임당 30분~50분)
누구는 대리써서 다이아가고 ㅋㅋㅋ
롤최고의 선수 페이커가 김연아 손흥민 처럼 한국을 대표…"
2020-03-16 03:31:41,"RT @kenji20c: 롤을 10년간해온 플레이 유저로써
브실골은 상대적 박탈감을 느낀다
누구는 606게임이나해서 간신히 골드5인데 (1게임당 30분~50분)
누구는 대리써서 다이아가고 ㅋㅋㅋ
롤최고의 선수 페이커가 김연아 손흥민 처럼 한국을 대표…"
2020-03-16 03:18:20,"롤을 10년간해온 플레이 유저로써
브실골은 상대적 박탈감을 느낀다
누구는 606게임이나해서 간신히 골드5인데 (1게임당 30분~50분)
누구는 대리써서 다이아가고 ㅋㅋㅋ
롤최고의 선수 페이커가 김연아 손흥민… https://t.co/XJMxNYsMmX"
2020-03-16 03:17:44,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 03:13:28,"손흥민, 포그바, 에이브러햄… 리그 재개 기다리는 '부상 복귀자들'
https://t.co/Vaeu9dyAIj"
2020-03-16 03:06:14,홀란드랑 손흥민이 동급이라고~ https://t.co/CMNaHcUrxA
2020-03-16 02:23:28,RT @guk_geureut: 손흥민 강아지 발성 헥헥 https://t.co/vyvpnAlUqM
2020-03-16 02:21:58,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 01:42:14,@SpursOfficial 오 손흥민!!!슈퍼손슈퍼골 슈퍼슈퍼 손골
2020-03-16 01:26:19,@hm_sin7 손흥민 선수 경기 연기 돼서 어떻게요ㅠㅠ
2020-03-16 01:20:10,"토트넘VS맨유  연기
손흥민 골 기대했는데 아쉽... https://t.co/0CsTeqnJKe"
2020-03-16 00:59:44,"⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클… https://t.co/bnXoBRgnlE"
